age,school,female,male,black,hisp,exp,married,schoolf,schoolm,siblings,wages,asvab02,asvab03,lnwages,exp2
40,17,0,1,0,0,17.57692,1,16,16,5,30.44,66,57,3.415758,308.9481
38,18,0,1,0,0,11.17308,0,16,16,2,57.69,50,60,4.055084,124.8377
38,18,0,1,0,0,13.75,1,16,15,5,37.79,57,42,3.632045,189.0625
38,12,0,1,0,0,21.57692,1,16,16,1,18.49,34,48,2.91723,465.5634
44,13,0,1,0,0,21.82692,1,12,12,3,27,47,52,3.295837,476.4144
44,12,0,1,0,0,20.38461,1,10,10,3,14,58,56,2.639057,415.5323
40,16,0,1,0,0,13.01923,1,16,16,2,38.81,59,51,3.658678,169.5004
38,12,0,1,0,0,19,0,12,12,1,22.18,50,56,3.099191,361
41,12,0,1,0,0,22.40385,1,9,11,4,12.3,50,59,2.509599,501.9325
41,14,0,1,0,0,16.51923,0,14,12,4,11.9,53,56,2.476538,272.8849
39,19,0,1,0,0,10.96154,0,12,16,1,27.4,51,51,3.310543,120.1554
39,12,0,1,1,0,6.692307,0,12,12,0,13.5,38,47,2.60269,44.78697
44,12,0,1,0,0,21.30769,1,0,0,2,25,40,29,3.218876,454.0176
42,12,0,1,0,0,20.03846,0,9,11,4,10,31,41,2.302585,401.5399
42,19,0,1,0,0,16.88461,1,16,16,2,81.82,64,60,4.404522,285.09
40,14,0,1,0,0,15.03846,1,14,16,2,15.38,46,54,2.733068,226.1553
42,14,0,1,0,0,21.96154,0,14,12,0,28.84,61,55,3.361763,482.3092
44,15,0,1,0,0,20.75,1,12,14,4,9.61,64,61,2.262804,430.5625
39,9,0,1,0,0,4.269231,1,10,9,3,12.5,36,25,2.525729,18.22633
44,14,0,1,0,0,23.26923,1,8,12,8,15.93,65,52,2.768204,541.457
38,16,0,1,0,0,16.38461,1,12,10,2,83.33,58,54,4.422809,268.4554
45,12,0,1,0,0,21.11539,1,7,12,2,18.75,53,55,2.931194,445.8597
40,13,0,1,1,0,21.36539,1,12,12,2,21.83,40,47,3.083285,456.4799
42,14,0,1,0,0,20.78846,1,12,12,3,28.84,46,51,3.361763,432.1601
39,12,0,1,0,0,22.07692,1,10,12,1,16.71,53,55,2.816007,487.3904
38,18,0,1,0,0,13.30769,1,14,12,1,38.46,51,51,3.649619,177.0946
42,12,0,1,0,0,19.67308,1,14,10,6,18.2,46,55,2.901422,387.0301
39,14,0,1,0,0,15.25,1,12,12,2,36.05,64,42,3.584907,232.5625
40,19,0,1,0,0,11.71154,1,16,16,2,25.76,65,60,3.248823,137.1602
43,11,0,1,0,0,23.01923,1,10,12,4,21.11,53,51,3.049747,529.8849
39,13,0,1,0,1,14.19231,1,12,12,3,23.6,38,33,3.161247,201.4217
42,12,0,1,0,0,19.13461,1,11,8,7,20.94,64,55,3.041661,366.1333
42,12,0,1,0,0,21.5,0,14,12,1,21,53,54,3.044523,462.25
39,16,0,1,0,0,16.03846,1,13,12,5,17.94,51,54,2.887033,257.2322
41,12,0,1,0,0,21.92308,1,12,12,1,10.83,45,50,2.38232,480.6215
43,16,0,1,0,0,16.92308,1,20,17,3,15.69,62,59,2.753024,286.3907
37,13,0,1,0,0,17.19231,1,12,12,3,18,59,46,2.890372,295.5755
40,12,0,1,0,0,14.30769,1,12,11,1,12.5,47,50,2.525729,204.71
39,13,0,1,0,0,18.38461,1,12,11,3,25,62,56,3.218876,337.9939
41,14,0,1,0,0,10.75,1,17,12,7,11.39,65,60,2.432736,115.5625
43,16,0,1,1,0,19.48077,0,6,12,2,23.25,49,60,3.146305,379.5004
43,12,0,1,0,0,21.67308,0,8,10,4,14.25,43,54,2.656757,469.7224
40,15,0,1,0,1,20.55769,0,11,12,2,24.61,64,42,3.203153,422.6186
41,12,0,1,0,0,18.09615,0,12,12,1,17.75,42,59,2.876385,327.4706
40,14,0,1,0,0,18.28846,0,16,16,3,15,51,55,2.70805,334.4678
45,12,0,1,1,0,21.36539,1,10,11,6,12,35,28,2.484907,456.4799
39,14,0,1,0,0,1.923077,0,11,11,2,8,54,48,2.079442,3.698225
38,14,0,1,0,0,18.15385,0,10,12,0,8,62,61,2.079442,329.5623
40,14,0,1,0,0,13.80769,1,8,5,5,13.73,58,59,2.619583,190.6523
44,19,0,1,0,0,10.32692,1,18,15,3,48.07,65,60,3.872658,106.6453
45,12,0,1,0,0,23.40385,1,8,8,7,12.44,46,54,2.520917,547.7402
40,12,0,1,0,1,8.903846,0,5,5,3,8,39,29,2.079442,79.27847
41,10,0,1,0,0,15.61539,0,9,12,5,13.5,38,33,2.60269,243.8404
40,16,0,1,0,0,18.32692,0,16,12,7,11.92,66,60,2.478218,335.876
39,12,0,1,0,0,18.53846,1,13,13,5,25.5,54,51,3.238678,343.6745
45,12,0,1,0,0,20.82692,1,12,12,4,27.77,62,60,3.323956,433.7606
41,16,0,1,0,0,17.55769,0,12,12,2,13,62,61,2.564949,308.2725
39,12,0,1,0,0,18.61539,1,12,10,1,20.1,61,59,3.00072,346.5328
37,12,0,1,1,0,17.34615,1,10,11,6,9.8,38,33,2.282382,300.8889
38,16,0,1,0,0,17.36539,1,12,12,4,22.43,66,60,3.110399,301.5568
44,12,0,1,1,0,22.38461,0,10,9,3,10.56,34,39,2.357073,501.0707
39,9,0,1,0,0,21.82692,1,10,9,3,16.36,36,29,2.794839,476.4144
45,8,0,1,0,0,22.44231,0,3,6,1,12.3,54,31,2.509599,503.6573
41,16,0,1,0,0,18.44231,1,14,12,1,23.07,61,54,3.138533,340.1188
39,12,0,1,1,0,19.53846,1,11,10,3,13.73,35,29,2.619583,381.7514
41,12,0,1,0,0,19.63461,1,12,12,3,58.6,58,55,4.070735,385.5179
42,12,0,1,0,0,21.65385,0,12,12,3,12,51,43,2.484907,468.8893
39,12,0,1,0,0,20.61539,1,12,14,1,10,49,59,2.302585,424.9943
45,9,0,1,0,0,20.48077,1,6,8,8,9.85,43,43,2.287472,419.4619
40,12,0,1,0,0,20.61539,1,12,11,4,12,57,54,2.484907,424.9943
45,11,0,1,0,0,21.01923,0,12,12,1,13.5,39,56,2.60269,441.808
38,16,0,1,0,0,12.03846,1,12,16,6,56,58,60,4.025352,144.9245
39,19,0,1,0,0,8.230769,1,11,14,2,32.69,66,60,3.487069,67.74556
39,16,0,1,0,1,15.28846,1,3,11,4,14.24,50,50,2.656055,233.737
37,12,0,1,1,0,19.26923,1,10,10,3,20,42,39,2.995732,371.3032
39,18,0,1,0,0,14.13461,1,13,16,2,39.31,58,56,3.671479,199.7872
43,12,0,1,0,0,23.36539,1,8,12,3,36.32,65,57,3.592369,545.9415
44,12,0,1,0,0,23.13461,1,11,12,1,21.63,50,54,3.074081,535.2101
38,18,0,1,0,0,9.673077,0,16,13,3,31.25,51,54,3.442019,93.56841
43,12,0,1,1,0,21.76923,0,10,12,2,9.16,47,46,2.214846,473.8994
43,12,0,1,0,0,22.96154,1,12,12,2,27.8,59,56,3.325036,527.2323
40,12,0,1,1,0,21.11539,0,12,10,3,17.95,36,28,2.88759,445.8597
41,12,0,1,0,0,13.17308,0,14,12,3,12.5,53,48,2.525729,173.53
39,16,0,1,0,0,14.46154,1,13,12,2,16.15,66,55,2.78192,209.1361
42,15,0,1,0,0,12.96154,1,14,16,2,2.5,61,59,0.9162908,168.0015
40,16,0,1,0,0,17.07692,1,9,11,2,20.74,51,56,3.032064,291.6212
37,12,0,1,0,0,15.23077,0,2,8,12,12,38,26,2.484907,231.9764
44,19,0,1,0,0,18.94231,1,16,16,2,47,66,61,3.850147,358.8111
43,13,0,1,0,0,20.26923,1,1,3,8,20.5,43,42,3.020425,410.8417
39,16,0,1,0,0,17.40385,1,16,14,4,33.76,66,59,3.519277,302.894
44,16,0,1,0,0,21.28846,1,12,12,1,42.59,51,54,3.75162,453.1985
38,12,0,1,0,1,19.75,1,8,8,7,20,36,42,2.995732,390.0625
41,18,0,1,0,0,16.76923,1,17,16,3,71.22,65,59,4.265774,281.2071
44,19,0,1,0,0,17.96154,1,18,16,1,47,54,60,3.850147,322.6169
40,12,0,1,0,0,17.75,1,6,10,4,25,38,33,3.218876,315.0625
45,12,0,1,0,0,19,1,11,9,3,29.8,54,55,3.394508,361
44,12,0,1,1,0,19.28846,0,7,10,2,4.46,38,33,1.495149,372.0447
44,16,0,1,0,0,19.84615,1,13,12,3,26.04,45,60,3.259634,393.8697
41,12,0,1,0,0,22.78846,1,8,12,1,13.27,53,50,2.585506,519.3139
44,17,0,1,0,0,17.11539,1,12,12,2,18,65,61,2.890372,292.9366
42,9,0,1,0,0,22.07692,0,13,15,5,18.26,55,60,2.904713,487.3904
37,12,0,1,0,0,13.88461,1,11,12,3,9.25,59,42,2.224623,192.7824
38,14,0,1,0,1,15.01923,1,12,12,2,23.07,46,56,3.138533,225.5773
45,14,0,1,0,0,22.11539,1,7,4,5,21.9,61,60,3.086487,489.0905
40,12,0,1,0,0,21.67308,1,12,12,3,13.4,47,41,2.595255,469.7224
37,16,0,1,0,0,13.13461,1,16,16,2,15,45,54,2.70805,172.518
43,17,0,1,0,0,19.01923,1,16,14,3,30,54,56,3.401197,361.7311
39,12,0,1,0,0,20.65385,1,9,10,6,12.54,47,35,2.528924,426.5815
44,13,0,1,0,0,22.07692,0,16,12,2,113.96,66,61,4.735847,487.3904
38,15,0,1,0,0,10.90385,1,15,12,1,39.53,57,60,3.67706,118.8939
39,14,0,1,0,0,15.55769,1,6,6,4,14.21,57,51,2.653946,242.0417
40,12,0,1,0,0,18.23077,1,12,10,2,16,35,52,2.772589,332.361
43,15,0,1,1,0,17.90385,1,12,15,1,11.36,50,59,2.430098,320.5479
41,12,0,1,0,0,21.92308,0,8,8,4,14.63,55,37,2.683074,480.6215
38,13,0,1,0,0,9.269231,1,16,12,2,38.88,53,48,3.66048,85.91864
44,12,0,1,0,0,20.23077,1,12,12,5,16.61,55,47,2.810005,409.2841
38,10,0,1,1,0,5.75,0,10,12,3,4.36,35,38,1.472472,33.0625
39,13,0,1,1,0,19.23077,1,12,12,3,14,40,41,2.639057,369.8225
44,13,0,1,0,0,22.13461,0,11,11,2,28.84,66,61,3.361763,489.9409
38,16,0,1,0,0,11.78846,1,10,12,1,32.05,55,59,3.467297,138.9678
40,12,0,1,0,0,19.36539,1,12,11,2,25.9,51,57,3.254243,375.0184
43,16,0,1,0,0,21.46154,1,18,12,0,86.53,61,57,4.460491,460.5977
41,14,0,1,0,0,19.51923,1,9,10,3,18.18,40,52,2.900322,381.0003
38,12,0,1,0,0,19.90385,1,8,11,0,14.2,53,44,2.653242,396.1633
40,16,0,1,0,0,14.88461,0,16,12,1,69.76,50,59,4.245061,221.5516
38,12,0,1,1,0,7.25,1,11,8,2,8.12,42,35,2.09433,52.5625
44,14,0,1,0,0,18.26923,1,10,10,4,23.04,64,52,3.137232,333.7648
42,12,0,1,0,0,23.30769,1,12,12,6,19.46,57,57,2.968361,543.2484
39,17,0,1,0,0,10,1,16,16,2,36.05,66,57,3.584907,100
43,12,0,1,1,0,20.38461,0,12,8,2,15,36,59,2.70805,415.5323
43,11,0,1,0,0,20.88461,0,12,11,6,14.1,53,51,2.646175,436.1669
41,12,0,1,0,0,14.42308,0,10,12,1,9,42,56,2.197225,208.0253
39,12,0,1,0,0,20.51923,1,12,12,5,21.63,42,51,3.074081,421.0388
38,12,0,1,0,0,10.65385,1,9,13,1,16.02,49,42,2.773838,113.5045
40,12,0,1,0,0,18.53846,1,12,12,3,13.67,53,48,2.615204,343.6745
43,14,0,1,0,0,21.48077,0,14,16,2,26.44,59,59,3.274878,461.4235
40,12,0,1,0,0,19.05769,1,11,12,5,18.96,51,46,2.942332,363.1955
45,12,0,1,0,0,22.88461,1,12,10,6,24.94,64,56,3.216473,523.7053
42,12,0,1,0,0,22.5,1,12,11,3,19.23,65,59,2.956471,506.25
39,13,0,1,0,0,16.53846,1,9,8,3,13.75,47,52,2.621039,273.5207
37,14,0,1,0,0,10.01923,0,16,13,2,5.25,57,48,1.658228,100.385
45,16,0,1,0,0,23.21154,1,12,12,2,123.93,64,60,4.819717,538.7756
44,19,0,1,0,0,15.5,1,16,15,5,39.81,65,59,3.684118,240.25
39,18,0,1,0,0,14.19231,1,20,16,2,113.12,66,61,4.728449,201.4217
41,12,0,1,0,0,13.88461,1,18,12,1,11.42,50,41,2.435366,192.7824
44,12,0,1,0,0,16.90385,1,12,12,3,7.5,47,52,2.014903,285.7402
44,9,0,1,0,0,15.78846,1,7,12,11,9.85,42,34,2.287472,249.2755
41,12,0,1,0,1,14.69231,1,6,9,7,10.75,38,46,2.374906,215.864
38,14,0,1,0,0,17.42308,1,16,12,1,16.82,43,55,2.822569,303.5637
40,12,0,1,0,0,21.03846,1,16,8,3,16.62,57,47,2.810607,442.6168
41,14,0,1,0,0,20.44231,1,13,15,2,24.03,64,60,3.179303,417.8881
39,12,0,1,1,0,17.67308,0,10,16,3,12,51,52,2.484907,312.3378
41,12,0,1,0,1,19.65385,1,12,8,5,16,46,44,2.772589,386.2738
39,14,0,1,0,0,18.28846,1,12,12,2,17.3,49,48,2.850706,334.4678
43,12,0,1,0,0,22.82692,1,12,12,3,26.44,59,60,3.274878,521.0682
40,12,0,1,0,0,17.26923,0,12,6,2,11.16,35,34,2.412336,298.2263
40,12,0,1,1,0,20.44231,1,7,10,2,12,31,44,2.484907,417.8881
40,12,0,1,0,0,17.26923,1,16,16,3,15.5,47,48,2.74084,298.2263
40,17,0,1,0,0,15.19231,0,16,12,6,22.43,61,60,3.110399,230.8063
38,12,0,1,0,0,10.75,1,4,6,1,12.72,42,29,2.543176,115.5625
39,20,0,1,0,1,7.423077,0,12,12,1,19.58,61,57,2.974509,55.10207
40,16,0,1,0,0,18.42308,1,12,12,2,23.7,62,56,3.165475,339.4099
41,12,0,1,1,0,9.519231,0,6,6,10,5.15,47,39,1.638997,90.61575
38,12,0,1,1,0,17.26923,0,9,6,9,10.67,38,41,2.367436,298.2263
41,13,0,1,0,0,16.94231,1,14,12,2,11.25,53,51,2.420368,287.0419
37,13,0,1,0,0,19.03846,1,12,12,4,11.62,51,41,2.452728,362.463
39,16,0,1,0,0,16,1,12,13,2,26.49,50,55,3.276767,256
37,14,0,1,0,0,10.94231,1,12,11,2,15.62,57,55,2.748552,119.7342
40,18,0,1,0,0,8.75,0,8,12,2,15.5,66,60,2.74084,76.5625
40,12,0,1,0,0,21.84615,1,12,10,0,32.5,54,52,3.48124,477.2542
38,12,0,1,0,0,20.01923,1,12,12,2,36.92,38,37,3.608753,400.7696
39,18,0,1,0,0,7.019231,1,15,12,2,21.92,49,56,3.087399,49.2696
42,12,0,1,0,0,23.07692,1,12,12,2,10.5,57,48,2.351375,532.5442
43,13,0,1,0,0,20.80769,1,12,10,5,20.68,65,56,3.029167,432.96
44,20,0,1,0,0,18.13461,1,16,14,3,55.94,62,60,4.02428,328.864
37,16,0,1,0,0,15.98077,1,18,12,2,31.86,45,47,3.461351,255.385
40,17,0,1,0,0,15.88461,1,18,16,2,16.92,64,59,2.828496,252.3208
43,14,0,1,0,0,17.88461,1,6,13,2,18,54,59,2.890372,319.8593
37,12,0,1,0,0,18.71154,1,10,9,2,15.38,35,28,2.733068,350.1217
41,14,0,1,0,0,20.38461,1,18,12,3,23.07,61,60,3.138533,415.5323
40,13,0,1,0,0,21.69231,0,14,12,1,30,46,52,3.401197,470.5563
41,13,0,1,0,1,18.07692,0,4,6,1,12,42,50,2.484907,326.775
41,15,0,1,0,0,11.98077,1,14,14,3,32.69,57,54,3.487069,143.5388
45,13,0,1,0,0,22.07692,0,10,12,1,21.36,61,57,3.06152,487.3904
44,14,0,1,0,0,22.75,1,14,16,2,34,46,52,3.526361,517.5625
43,15,0,1,0,0,14.44231,1,14,18,1,13.9,61,57,2.631889,208.5803
43,9,0,1,0,0,10.96154,1,4,7,3,8,35,35,2.079442,120.1554
38,12,0,1,0,0,17.65385,0,16,12,5,13,61,52,2.564949,311.6584
40,18,0,1,0,0,11.86539,0,12,12,1,50.16,65,61,3.915218,140.7875
45,17,0,1,0,0,22.26923,1,17,17,2,40,64,61,3.688879,495.9186
45,18,0,1,0,0,6.25,1,12,12,2,17.44,59,60,2.858767,39.0625
44,14,0,1,0,0,20.65385,1,10,12,0,8.5,42,54,2.140066,426.5815
44,18,0,1,0,0,19.98077,1,17,16,2,16.66,66,56,2.813011,399.2312
38,13,0,1,0,0,11.13461,1,12,12,8,14.46,62,57,2.671386,123.9795
43,14,0,1,0,0,16.55769,0,12,12,1,8.82,40,51,2.177022,274.1571
38,18,0,1,0,0,13.94231,1,8,8,6,64.1,65,61,4.160444,194.388
38,12,0,1,0,0,12.48077,0,8,12,2,5.15,65,61,1.638997,155.7696
37,16,0,1,0,0,16.63461,1,16,14,2,34.52,54,54,3.541539,276.7102
39,12,0,1,0,0,13.67308,1,9,8,3,15.63,35,33,2.749192,186.9531
42,12,0,1,0,0,23.34615,1,12,12,2,17.17,58,52,2.843164,545.0427
45,13,0,1,0,1,15.61539,0,0,2,6,12.98,45,38,2.56341,243.8404
40,12,0,1,0,0,21.61539,1,12,12,3,11.27,42,46,2.422144,467.2251
40,12,0,1,0,0,19.90385,1,12,12,1,15,40,38,2.70805,396.1633
41,16,0,1,0,0,18.98077,1,16,14,2,20.76,64,59,3.033028,360.2696
42,12,0,1,0,0,3.019231,1,12,9,3,17.3,49,37,2.850706,9.115756
43,10,0,1,0,0,22.98077,1,7,9,3,19.23,53,52,2.956471,528.1158
42,13,0,1,1,0,21.48077,0,8,12,3,24,38,42,3.178054,461.4235
40,12,0,1,0,0,21.15385,1,12,12,2,17.52,54,59,2.863343,447.4854
41,12,0,1,0,0,19.84615,0,12,7,0,26.22,36,44,3.266522,393.8697
41,16,0,1,0,0,18.34615,0,11,12,2,58,65,61,4.060443,336.5812
41,12,0,1,0,0,20.69231,0,12,12,2,14.89,47,50,2.70069,428.1717
43,12,0,1,0,0,23.11539,1,11,11,4,20.76,59,56,3.033028,534.3213
40,14,0,1,0,0,17.57692,0,12,12,5,6.75,58,57,1.909543,308.9481
41,16,0,1,0,0,19.11539,1,9,12,1,32.05,66,61,3.467297,365.3982
38,12,0,1,0,1,9.788462,0,12,16,3,4,39,44,1.386294,95.81398
41,16,0,1,0,0,18.57692,1,14,12,2,34.61,64,56,3.544143,345.1019
40,12,0,1,0,0,23.25,0,10,11,1,8.12,42,55,2.09433,540.5625
44,12,0,1,0,0,22.13461,0,12,12,4,23,45,50,3.135494,489.9409
42,20,0,1,0,0,11.48077,0,6,19,3,35.57,65,59,3.571503,131.8081
40,12,0,1,0,0,16.76923,1,12,12,5,9.95,58,61,2.297573,281.2071
39,12,0,1,0,0,20.17308,0,12,12,6,15,38,41,2.70805,406.9532
40,12,0,1,0,0,22.38461,1,12,12,1,19.02,55,51,2.945491,501.0707
40,15,0,1,0,0,20.15385,1,12,10,3,36.71,46,54,3.603049,406.1777
38,16,0,1,0,0,13.30769,1,16,12,3,20.15,53,57,3.003204,177.0946
44,11,0,1,1,0,6.730769,0,6,12,7,6.15,39,28,1.816452,45.30325
41,12,0,1,0,0,22.63461,1,12,12,7,25.62,64,57,3.243373,512.3256
38,12,0,1,0,0,19.59615,1,12,12,4,15.6,35,44,2.747271,384.0091
45,12,0,1,0,0,23.19231,1,12,12,4,40.06,62,48,3.690378,537.8832
41,12,0,1,0,0,21.76923,0,11,12,0,16,40,48,2.772589,473.8994
39,12,0,1,0,0,20.82692,1,6,12,0,17.85,42,39,2.882004,433.7606
43,12,0,1,0,0,23.03846,1,12,11,2,12.01,64,52,2.48574,530.7706
41,16,0,1,0,0,17.38461,1,18,15,1,34.61,59,48,3.544143,302.2246
44,12,0,1,0,0,22.63461,1,11,10,1,11.32,54,51,2.426571,512.3256
42,18,0,1,0,0,20.61539,1,13,12,4,64.9,55,61,4.172848,424.9943
38,12,0,1,0,0,18.21154,0,19,12,2,38.46,65,61,3.649619,331.6602
41,12,0,1,0,0,22.98077,0,12,12,6,26.82,61,52,3.289148,528.1158
44,14,0,1,0,0,19.57692,1,10,12,2,21.15,62,60,3.05164,383.2558
41,9,0,1,0,0,20.44231,1,9,9,4,17.12,38,33,2.840247,417.8881
44,13,0,1,0,0,22.53846,1,12,10,9,28.8,62,59,3.360375,507.9822
41,18,0,1,0,0,16.96154,1,8,12,4,20,62,43,2.995732,287.6938
43,16,0,1,0,1,22.19231,1,12,9,4,30.28,64,59,3.410487,492.4986
44,16,0,1,0,0,19.01923,0,12,12,1,54.27,58,56,3.993972,361.7311
40,12,0,1,0,0,20.80769,1,12,12,6,17.54,64,54,2.864484,432.96
44,11,0,1,1,0,21.51923,1,9,6,9,6.97,30,37,1.941615,463.0772
43,14,0,1,0,1,19.26923,0,5,6,7,12.2,54,59,2.501436,371.3032
41,16,0,1,0,0,15.32692,1,16,16,3,29.8,64,43,3.394508,234.9145
39,19,0,1,0,0,13.67308,1,12,10,2,48.07,66,59,3.872658,186.9531
45,13,0,1,0,0,21.92308,1,15,12,2,29.61,65,59,3.388112,480.6215
43,14,0,1,0,0,23.21154,1,17,14,3,30.27,64,61,3.410157,538.7756
38,16,0,1,0,0,12.92308,1,16,12,2,26.51,58,59,3.277522,167.006
40,12,0,1,0,0,22.09615,1,12,12,2,50,64,54,3.912023,488.2398
44,19,0,1,0,0,1.788462,1,16,14,3,37.11,65,60,3.613887,3.198596
39,11,0,1,0,0,16.17308,1,14,12,2,10,35,21,2.302585,261.5685
39,12,0,1,0,0,19.90385,1,14,12,3,16.16,43,37,2.782539,396.1633
41,14,0,1,0,0,20.19231,1,12,12,2,55.55,61,61,4.017283,407.7294
43,11,0,1,1,0,9.153846,0,11,11,7,8.75,34,22,2.169054,83.79289
42,15,0,1,0,0,16.69231,1,18,13,2,26,61,60,3.258096,278.6332
39,12,0,1,0,0,20.82692,1,16,12,6,15.73,62,52,2.75557,433.7606
39,9,0,1,1,0,19.78846,0,16,11,3,7,36,35,1.94591,391.5831
39,14,0,1,0,0,14.30769,0,12,12,4,8.54,62,60,2.144761,204.71
39,14,0,1,0,0,18.96154,1,12,12,1,56.92,42,52,4.041647,359.54
37,12,0,1,0,0,17.44231,1,8,13,2,26.5,65,54,3.277145,304.2342
44,12,0,1,1,0,20.63461,0,5,10,6,8.81,38,31,2.175888,425.7871
38,16,0,1,0,0,11.96154,1,20,12,1,31,54,56,3.433987,143.0784
40,12,0,1,0,0,20.40385,1,14,16,4,18.53,59,57,2.919391,416.3171
43,12,0,1,0,0,21.71154,0,16,12,1,25,61,59,3.218876,471.391
39,16,0,1,0,0,16.90385,0,14,12,2,44.71,57,44,3.800197,285.7402
41,12,0,1,0,1,20.13461,1,2,6,6,7.5,42,38,2.014903,405.4025
